date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:23	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2018%20Jun%202020%2014:34:23%20GMT	http://jobboard.inwavethemes.com/robots.txt		(from )
21:34:44	95390/95390	---MCZ	200	added ('OK')	text/html	etag:%2281e0530d4d9d7eafc0a05b28b2467f31%22	http://jobboard.inwavethemes.com/candidate/thaidaik123/	D:/ungvien/webungvien/jobboard.inwavethemes.com/candidate/thaidaik123/index.html	(from )
21:34:51	898106/898106	---MCZ	200	added ('OK')	text/css	etag:%22db43a-5a478840f434f-gzip%22	http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css	D:/ungvien/webungvien/static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css	(from http://jobboard.inwavethemes.com/candidate/thaidaik123/)
21:34:53	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2014:34:53%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	D:/ungvien/webungvien/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.1.delayed	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:34:59	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-590c466dec118%22	http://jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	D:/ungvien/webungvien/jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:00	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2014:34:59%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/inwave-common/assets/images/bg-info-item4.png	D:/ungvien/webungvien/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/inwave-common/assets/images/bg-info-item4.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:01	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2014:35:01%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	D:/ungvien/webungvien/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:02	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-56812912e8b80%22	http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	D:/ungvien/webungvien/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:02	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2014:35:02%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	D:/ungvien/webungvien/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:03	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-56a51a2379480%22	http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	D:/ungvien/webungvien/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:03	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2014:35:03%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	D:/ungvien/webungvien/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:05	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2014:35:05%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/themes/injob/assets/images/404_bg.jpg	D:/ungvien/webungvien/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/themes/injob/assets/images/404_bg.jpg	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:08	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2014:35:08%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/uploads/2018/05/job_heading_bg.jpg	D:/ungvien/webungvien/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/uploads/2018/05/job_heading_bg.jpg	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:12	124553/124553	---M--	200	added ('OK')	image/png	etag:%221e689-56812912e8b80%22	http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	D:/ungvien/webungvien/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:15	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2014:35:09%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/fancybox/fancybox_sprite.png	D:/ungvien/webungvien/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/fancybox/fancybox_sprite.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:16	1362/1362	---M--	200	added ('OK')	image/png	etag:%22552-56812912e8b80%22	http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/fancybox/fancybox_sprite.png	D:/ungvien/webungvien/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/fancybox/fancybox_sprite.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
21:35:16	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2014:35:16%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/includes/class/fields/assets/img/drag_icon.gif	D:/ungvien/webungvien/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/includes/class/fields/assets/img/drag_icon.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_566cdc9f207804c486e21c4e7a4fd37c.css)
